Respondent,Gender,Age,Country,EdLevel,DevType,YearsCode,YearsCodePro,Employment,ConvertedComp,JobSat,JobSeek,NEWLearn,OrgSize,WorkWeekHrs,JobFactors,exp_tier,JobSat_score
33374,Man,30.0,United States,Some college/university study without earning a degree,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Educator",23,12.0,Employed full-time,1560000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,100 to 499 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;How widely used or impactful my work output would be",10-20y,3.0
33375,Woman,32.0,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",21,10.0,"Independent contractor, freelancer, or self-employed",48960.0,Very satisfied,I am actively looking for a job,Every few months,2 to 9 employees,60.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,5-10y,4.0
33376,Man,38.0,Netherlands,"Other doctoral degree (Ph.D., Ed.D., etc.)",Data scientist or machine learning specialist,30,16.0,"Independent contractor, freelancer, or self-employed",207552.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,"Just me - I am a freelancer, sole proprietor, etc.",32.0,Flex time or a flexible schedule;Office environment or company culture;Family friendliness,10-20y,3.0
33377,Man,,Kosovo,Some college/university study without earning a degree,Not stated,2,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",,
33378,Man,,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, mobile;Developer, QA or test;DevOps specialist",45,40.0,Employed full-time,100000.0,Slightly dissatisfied,I am actively looking for a job,Every few months,20 to 99 employees,40.0,Remote work options;Office environment or company culture;Family friendliness,20y+,1.0
33379,Man,32.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile",18,9.0,Employed full-time,75669.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"1,000 to 4,999 employees",40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",5-10y,3.0
33380,Man,32.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Scientist,27,0.0,Employed full-time,2000000.0,Neither satisfied nor dissatisfied,I am actively looking for a job,Not stated,500 to 999 employees,,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Opportunities for professional development,0-2y,2.0
33381,Man,40.0,United States,Some college/university study without earning a degree,"Developer, full-stack",32,12.0,Employed full-time,,Neither satisfied nor dissatisfied,I am not interested in new job opportunities,Once a year,100 to 499 employees,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,2.0
33382,Man,32.0,Brazil,Some college/university study without earning a degree,"Academic researcher;Database administrator;Developer, back-end;System administrator",16,10.0,Employed full-time,,Slightly satisfied,I am actively looking for a job,Once every few years,500 to 999 employees,40.0,Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development,5-10y,3.0
33383,Man,22.0,Canada,Some college/university study without earning a degree,Not stated,5,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",,
33384,Man,18.0,Uruguay,Some college/university study without earning a degree,"Developer, front-end;Developer, mobile",1,0.0,Employed part-time,4728.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,20.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,0-2y,3.0
33385,Woman,25.0,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Engineer, data;System administrator",16,5.0,Employed full-time,32436.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,"1,000 to 4,999 employees",40.0,Diversity of the company or organization;Office environment or company culture;Opportunities for professional development,2-5y,4.0
33386,Man,51.0,United States,Some college/university study without earning a degree,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Engineer, site reliability;System administrator",40,38.0,Employed full-time,130000.0,Very satisfied,I am not interested in new job opportunities,Once a year,2 to 9 employees,40.0,Not stated,20y+,4.0
33387,Man,39.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Developer, mobile;DevOps specialist",18,14.0,Employed full-time,69183.0,Slightly satisfied,I am actively looking for a job,Once a year,20 to 99 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,3.0
33388,Man,22.0,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,4,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once every few years,Not stated,,Flex time or a flexible schedule;Specific department or team I’d be working on;Opportunities for professional development,,
33389,Man,34.0,Bulgaria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist;Educator;Engineering manager",14,13.0,Employed full-time,40452.0,Very satisfied,I am not interested in new job opportunities,Once a year,100 to 499 employees,50.0,Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture,10-20y,4.0
33390,Man,23.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",7,3.0,Employed full-time,75000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"1,000 to 4,999 employees",40.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,2-5y,4.0
33391,Man,,Germany,"Professional degree (JD, MD, etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, game or graphics;Product manager;System administrator",9,5.0,"Independent contractor, freelancer, or self-employed",23352.0,Slightly dissatisfied,I am actively looking for a job,Once a year,2 to 9 employees,50.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,1.0
33392,Man,33.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, full-stack",15,8.0,Employed full-time,30372.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,50.0,Flex time or a flexible schedule;Remote work options;Family friendliness,5-10y,2.0
33393,Man,30.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack",17,8.0,Employed full-time,54289.0,Very satisfied,I am not interested in new job opportunities,Every few months,100 to 499 employees,37.5,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",5-10y,4.0
33394,Man,39.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;DevOps specialist",20,16.0,Employed full-time,1000000.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,10 to 19 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",10-20y,1.0
33395,Man,36.0,Belgium,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",20,18.0,"Independent contractor, freelancer, or self-employed",97288.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,35.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",10-20y,3.0
33396,Man,31.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, full-stack",5,5.0,Employed full-time,89000.0,Very satisfied,I am not interested in new job opportunities,Once a year,100 to 499 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",2-5y,4.0
33397,Man,26.0,Morocco,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",9,3.0,Employed full-time,49284.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,3.0
33398,Man,26.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;System administrator",15,10.0,Employed full-time,75000.0,Very satisfied,I am not interested in new job opportunities,Every few months,2 to 9 employees,35.0,Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture,5-10y,4.0
33399,Man,28.0,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",12,9.0,Employed full-time,,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,40.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,5-10y,4.0
33400,Man,29.0,Brazil,"Associate degree (A.A., A.S., etc.)","Developer, back-end;Developer, full-stack;Developer, mobile",15,10.0,Employed full-time,11148.0,Very satisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,44.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",5-10y,4.0
33401,Man,20.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",2,1.0,Employed full-time,50000.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",0-2y,1.0
33402,Man,32.0,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",18,11.0,Employed full-time,51887.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,40.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,10-20y,1.0
33404,Man,28.0,Iran,Some college/university study without earning a degree,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Scientist",7,7.0,Employed full-time,12828.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,10 to 19 employees,55.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Family friendliness",5-10y,4.0
33405,Man,32.0,Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",15,10.0,Employed full-time,34591.0,Slightly dissatisfied,I am not interested in new job opportunities,Once every few years,10 to 19 employees,40.0,Diversity of the company or organization;Flex time or a flexible schedule;Remote work options,5-10y,1.0
33406,Man,23.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile;Educator;System administrator",8,3.0,Employed full-time,82500.0,Very satisfied,I am not interested in new job opportunities,Once a year,"10,000 or more employees",40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",2-5y,4.0
33407,Man,19.0,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,5,,Student,,Not stated,I am not interested in new job opportunities,Every few months,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",,
33408,Man,55.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, mobile",40,30.0,"Independent contractor, freelancer, or self-employed",200000.0,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"Just me - I am a freelancer, sole proprietor, etc.",50.0,Flex time or a flexible schedule;Remote work options,20y+,0.0
33409,Man,29.0,Turkey,Some college/university study without earning a degree,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;DevOps specialist;System administrator",8,4.0,Employed full-time,,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,,Not stated,2-5y,2.0
33410,Man,22.0,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,4,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,,
33411,Man,19.0,Canada,Some college/university study without earning a degree,Not stated,3,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,Diversity of the company or organization;Flex time or a flexible schedule;Office environment or company culture,,
33412,Man,24.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test",11,1.0,Employed full-time,82000.0,Slightly dissatisfied,I am actively looking for a job,Every few months,20 to 99 employees,34.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,0-2y,1.0
33413,Man,22.0,Russian Federation,Some college/university study without earning a degree,"Database administrator;Developer, back-end",9,4.0,Employed full-time,11328.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,45.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",2-5y,4.0
33414,Woman,56.0,United States,Some college/university study without earning a degree,Not stated,2,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Every few months,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",,
33415,Man,29.0,Bulgaria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",10,2.0,Employed full-time,9948.0,Very satisfied,I am not interested in new job opportunities,Once a year,10 to 19 employees,70.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",0-2y,4.0
33417,Man,27.0,Turkey,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",4,2.0,Employed full-time,9864.0,Neither satisfied nor dissatisfied,I am actively looking for a job,Once a year,2 to 9 employees,60.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",0-2y,2.0
33418,Man,26.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,4,,Student,,Not stated,I am not interested in new job opportunities,Every few months,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Family friendliness",,
33419,Man,29.0,Romania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",15,7.0,"Independent contractor, freelancer, or self-employed",67848.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",5-10y,4.0
33420,Man,41.0,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;DevOps specialist;System administrator",30,20.0,Employed full-time,19452.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,44.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,1.0
33421,Man,36.0,United States,Some college/university study without earning a degree,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Educator;Engineering manager;System administrator",19,15.0,Employed full-time,150000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,35.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,4.0
33422,Man,53.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Scientist",40,30.0,"Independent contractor, freelancer, or self-employed",,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,2 to 9 employees,50.0,Diversity of the company or organization;How widely used or impactful my work output would be;Office environment or company culture,20y+,4.0
33423,Man,32.0,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test",13,3.0,Employed full-time,48644.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,37.5,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",2-5y,4.0
33424,Woman,,New Zealand,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",7,6.0,Employed full-time,,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Not stated,"1,000 to 4,999 employees",37.5,Diversity of the company or organization;Financial performance or funding status of the company or organization;Opportunities for professional development,5-10y,4.0
33425,Man,42.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack",25,19.0,Employed full-time,112000.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"10,000 or more employees",40.0,Flex time or a flexible schedule;Remote work options;How widely used or impactful my work output would be,10-20y,2.0
33426,Man,28.0,Argentina,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Designer;Developer, back-end;Developer, game or graphics;DevOps specialist;Engineer, site reliability;System administrator",15,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Every few months,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Remote work options",,
33427,Man,29.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Educator",6,2.0,Employed full-time,80000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,0-2y,3.0
33428,Man,45.0,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst;Database administrator,30,25.0,Employed full-time,,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,Flex time or a flexible schedule;Office environment or company culture;Family friendliness,20y+,1.0
33429,Man,51.0,United States,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Data or business analyst;Educator;Scientist,40,24.0,Employed full-time,160000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,500 to 999 employees,60.0,How widely used or impactful my work output would be;Opportunities for professional development;Family friendliness,20y+,3.0
33430,Man,25.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",6,3.0,Employed full-time,210000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",2-5y,3.0
33431,Man,,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;System administrator",16,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Every few months,Not stated,,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,,
33432,Woman,38.0,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, game or graphics",5,2.0,Employed full-time,28020.0,Very dissatisfied,I am actively looking for a job,Every few months,2 to 9 employees,42.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",0-2y,0.0
33433,Man,24.0,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Academic researcher;Data scientist or machine learning specialist;Developer, full-stack",6,2.0,Employed full-time,30240.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,"10,000 or more employees",8.0,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;How widely used or impactful my work output would be",0-2y,3.0
33434,Man,26.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Database administrator;DevOps specialist;System administrator,10,5.0,Employed full-time,120000.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,20 to 99 employees,43.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",2-5y,1.0
33435,Man,,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack",12,6.0,Employed full-time,42012.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,100 to 499 employees,40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",5-10y,4.0
33437,Man,29.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Engineer, data;Product manager",16,4.0,Employed full-time,117000.0,Very dissatisfied,I am actively looking for a job,Every few months,20 to 99 employees,40.0,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Office environment or company culture,2-5y,0.0
33438,Woman,26.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",12,5.0,"Independent contractor, freelancer, or self-employed",86000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,4.0
33439,Man,20.0,United States,Some college/university study without earning a degree,Not stated,3,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,Financial performance or funding status of the company or organization;How widely used or impactful my work output would be;Opportunities for professional development,,
33440,Man,49.0,Spain,"Professional degree (JD, MD, etc.)","Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Educator;System administrator",35,30.0,Employed full-time,,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,,Flex time or a flexible schedule;Remote work options;Family friendliness,20y+,3.0
33441,Man,47.0,New Zealand,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, QA or test;DevOps specialist;Engineer, site reliability;Engineering manager;System administrator",35,26.0,Employed full-time,112446.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,40.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,20y+,4.0
33442,Man,34.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Engineering manager;Marketing or sales professional",10,7.0,Employed full-time,103000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,500 to 999 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on",5-10y,3.0
33443,Man,,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Educator;Engineer, data;Marketing or sales professional;Product manager;System administrator",17,10.0,Employed full-time,26160.0,Slightly dissatisfied,I am actively looking for a job,Every few months,2 to 9 employees,40.0,Flex time or a flexible schedule;Specific department or team I’d be working on;Opportunities for professional development,5-10y,1.0
33444,Man,28.0,Brazil,Some college/university study without earning a degree,"Database administrator;Developer, back-end;Developer, full-stack",10,9.0,Employed full-time,27492.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,Flex time or a flexible schedule;Remote work options;How widely used or impactful my work output would be,5-10y,4.0
33445,Man,23.0,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,8,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",,
33446,Man,16.0,Italy,Some college/university study without earning a degree,Not stated,5,,Student,,Not stated,I am not interested in new job opportunities,Every few months,Not stated,,Specific department or team I’d be working on,,
33447,Man,37.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;Engineer, site reliability",20,15.0,Employed full-time,323149.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"1,000 to 4,999 employees",40.0,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",10-20y,3.0
33448,Man,38.0,Colombia,Some college/university study without earning a degree,"Designer;Developer, front-end",16,6.0,Employed full-time,14832.0,Slightly satisfied,I am not interested in new job opportunities,Every few months,100 to 499 employees,40.0,Remote work options;Office environment or company culture;Family friendliness,5-10y,3.0
33450,Man,37.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Developer, back-end;Developer, full-stack;Developer, QA or test",20,4.0,Employed full-time,90000.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,500 to 999 employees,40.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,2-5y,1.0
33451,Man,37.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Educator;Engineer, site reliability",22,13.0,Employed full-time,33408.0,Neither satisfied nor dissatisfied,I am not interested in new job opportunities,Once every few years,500 to 999 employees,40.0,Flex time or a flexible schedule;Opportunities for professional development;Family friendliness,10-20y,2.0
33452,Man,30.0,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, game or graphics;Developer, mobile",5,2.0,"Independent contractor, freelancer, or self-employed",30372.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,60.0,Not stated,0-2y,2.0
33453,Man,33.0,United States,Some college/university study without earning a degree,"Developer, back-end;Developer, QA or test;DevOps specialist;Educator;System administrator",8,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Once a year,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",,
33454,Man,28.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",9,9.0,Employed full-time,83000.0,Slightly dissatisfied,I am actively looking for a job,Every few months,20 to 99 employees,40.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,5-10y,1.0
33455,Man,,Canada,"Other doctoral degree (Ph.D., Ed.D., etc.)","Academic researcher;Developer, back-end;Marketing or sales professional",10,5.0,Employed full-time,,Not stated,Not stated,Once a year,Not stated,,Not stated,2-5y,
33456,Man,24.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack",10,3.0,"Independent contractor, freelancer, or self-employed",75650.0,Slightly dissatisfied,I am actively looking for a job,Every few months,"10,000 or more employees",40.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",2-5y,1.0
33457,Man,34.0,France,"Other doctoral degree (Ph.D., Ed.D., etc.)","Developer, back-end",10,6.0,Employed full-time,65940.0,Slightly satisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,40.0,Industry that I’d be working in;Specific department or team I’d be working on;Office environment or company culture,5-10y,3.0
33458,Man,24.0,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics;Developer, mobile",9,4.0,Employed full-time,20616.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,100 to 499 employees,40.0,Industry that I’d be working in;Office environment or company culture;Opportunities for professional development,2-5y,4.0
